,pval,log2fc,pre_mean,on_mean,qval
CLDN23,0.004673046286697499,0.35071397,46.202774,36.232025,0.5337581194239903
CLIC4,0.006655218203910271,-0.21195172,117.36415,135.9375,0.5452526661087647
CPED1,0.0044866152672652405,0.6441343,53.225094,34.057495,0.5337581194239903
CRK,6.383469390311419e-06,0.46297723,97.09625,70.44212,0.0421463039058608
CUL5,0.0013256150343233174,0.45140985,81.321236,59.47248,0.38093607769588894
CYBC1,0.00329900351206224,-0.21315677,168.47354,195.29822,0.5206987876775623
DERL1,0.0006343805023814025,-0.34976634,97.11956,123.76472,0.31527898084324224
DNAJC5,0.005313012328670622,0.40517718,114.63128,86.56307,0.5337581194239903
DST,0.004981308730774878,0.56740665,115.50571,77.94657,0.5337581194239903
DTWD1,0.007958775140937048,0.62626123,46.593277,30.1856,0.6046570571014153
DUSP6,0.0018196776448829524,0.94413966,178.50502,92.77609,0.4349765697966437
EFR3A,0.0022707917889510706,0.4159309,171.31703,128.40823,0.440961945853656
EI24,0.005043520867358808,0.46367866,97.409546,70.63506,0.5337581194239903
EMC7,0.00994224268134568,-0.2743292,127.897064,154.68275,0.6486530393653389
ETS2,4.377954473794981e-05,-0.7184998,72.57364,119.417755,0.12732346588829319
FAM13B,0.0009611901979663286,0.5288206,68.012344,47.140793,0.32544487450028764
FAM172A,0.004680015746841547,0.5033148,26.296844,18.552002,0.5337581194239903
FAM19A2,0.0033849177228333534,-1.5702028,2.192607,6.5108685,0.5206987876775623
FAM214A,0.0004115607317035239,0.9182957,21.702726,11.4836445,0.29853248767482554
FAM72A,0.0045819013198876305,-0.69177514,20.412197,32.971207,0.5337581194239903
FANCA,0.009275131812639139,-1.0484632,10.719982,22.172413,0.6486530393653389
FARP1,0.006811569153399929,0.9888696,66.25471,33.38392,0.5518134419945708
FKBP5,0.00022976395789257127,-0.77456087,114.58367,196.01477,0.2652234947691143
GCNT1,0.008739023736046363,-0.48838052,61.464878,86.22719,0.6340510714997073
GLUL,0.006112623528268644,-0.19522072,885.37476,1013.6649,0.5337581194239903
GPR183,0.00014172828055745244,-0.6500141,136.8057,214.67323,0.2652234947691143
GRASP,0.0005183409128846029,-2.019411,12.9196205,52.378498,0.3111182722052373
HADHA,0.0020925259907944634,-0.33482176,192.89677,243.28558,0.4349765697966437
